"Status"	"Attraction"	"Money"
"1"	"Relationship"	"NotInterested"	86.33
"2"	"Relationship"	"NotInterested"	45.58
"3"	"Relationship"	"NotInterested"	68.43
"4"	"Relationship"	"NotInterested"	52.93
"5"	"Relationship"	"NotInterested"	61.86
"6"	"Relationship"	"NotInterested"	48.47
"7"	"Relationship"	"NotInterested"	32.79
"8"	"Relationship"	"NotInterested"	35.91
"9"	"Relationship"	"NotInterested"	30.98
"10"	"Relationship"	"NotInterested"	44.82
"11"	"Relationship"	"NotInterested"	35.05
"12"	"Relationship"	"NotInterested"	64.49
"13"	"Relationship"	"NotInterested"	54.5
"14"	"Relationship"	"NotInterested"	61.48
"15"	"Relationship"	"NotInterested"	55.51
"16"	"Relationship"	"NotInterested"	54.77
"17"	"Relationship"	"NotInterested"	45.01
"18"	"Relationship"	"NotInterested"	18.9
"19"	"Relationship"	"NotInterested"	46.65
"20"	"Relationship"	"NotInterested"	37.48
"21"	"Relationship"	"NotInterested"	81.9
"22"	"Relationship"	"NotInterested"	55.11
"23"	"Relationship"	"NotInterested"	55.92
"24"	"Relationship"	"NotInterested"	81.56
"25"	"Relationship"	"NotInterested"	30.87
"26"	"Relationship"	"Interested"	88.4
"27"	"Relationship"	"Interested"	83.65
"28"	"Relationship"	"Interested"	89.06
"29"	"Relationship"	"Interested"	107.43
"30"	"Relationship"	"Interested"	103.63
"31"	"Relationship"	"Interested"	87.51
"32"	"Relationship"	"Interested"	97.77
"33"	"Relationship"	"Interested"	99.5
"34"	"Relationship"	"Interested"	117.58
"35"	"Relationship"	"Interested"	80.91
"36"	"Relationship"	"Interested"	98.05
"37"	"Relationship"	"Interested"	89.1
"38"	"Relationship"	"Interested"	96.67
"39"	"Relationship"	"Interested"	69.29
"40"	"Relationship"	"Interested"	108.63
"41"	"Relationship"	"Interested"	121.52
"42"	"Relationship"	"Interested"	120.5
"43"	"Relationship"	"Interested"	91.69
"44"	"Relationship"	"Interested"	106.49
"45"	"Relationship"	"Interested"	75.44
"46"	"Relationship"	"Interested"	114.29
"47"	"Relationship"	"Interested"	111.85
"48"	"Relationship"	"Interested"	117.23
"49"	"Relationship"	"Interested"	87.17
"50"	"Relationship"	"Interested"	115.51
"51"	"Single"	"NotInterested"	46.58
"52"	"Single"	"NotInterested"	0.93
"53"	"Single"	"NotInterested"	50.11
"54"	"Single"	"NotInterested"	50.05
"55"	"Single"	"NotInterested"	52.5
"56"	"Single"	"NotInterested"	28.55
"57"	"Single"	"NotInterested"	47.01
"58"	"Single"	"NotInterested"	21.55
"59"	"Single"	"NotInterested"	42.95
"60"	"Single"	"NotInterested"	57.73
"61"	"Single"	"NotInterested"	40.54
"62"	"Single"	"NotInterested"	49.21
"63"	"Single"	"NotInterested"	73.75
"64"	"Single"	"NotInterested"	84.28
"65"	"Single"	"NotInterested"	12.12
"66"	"Single"	"NotInterested"	40.22
"67"	"Single"	"NotInterested"	13.28
"68"	"Single"	"NotInterested"	71.44
"69"	"Single"	"NotInterested"	31.01
"70"	"Single"	"NotInterested"	58.56
"71"	"Single"	"NotInterested"	71.11
"72"	"Single"	"NotInterested"	44.75
"73"	"Single"	"NotInterested"	55.7
"74"	"Single"	"NotInterested"	53.8
"75"	"Single"	"NotInterested"	52.42
"76"	"Single"	"Interested"	136.59
"77"	"Single"	"Interested"	139.91
"78"	"Single"	"Interested"	188.76
"79"	"Single"	"Interested"	179.39
"80"	"Single"	"Interested"	150.35
"81"	"Single"	"Interested"	163.61
"82"	"Single"	"Interested"	121.73
"83"	"Single"	"Interested"	200.99
"84"	"Single"	"Interested"	193.69
"85"	"Single"	"Interested"	138.74
"86"	"Single"	"Interested"	143.09
"87"	"Single"	"Interested"	167.46
"88"	"Single"	"Interested"	193.78
"89"	"Single"	"Interested"	178.54
"90"	"Single"	"Interested"	161.85
"91"	"Single"	"Interested"	143.08
"92"	"Single"	"Interested"	136.1
"93"	"Single"	"Interested"	133.51
"94"	"Single"	"Interested"	171.82
"95"	"Single"	"Interested"	178.39
"96"	"Single"	"Interested"	139.12
"97"	"Single"	"Interested"	143.56
"98"	"Single"	"Interested"	134.82
"99"	"Single"	"Interested"	152.4
"100"	"Single"	"Interested"	129.91
